,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km,sourceLat,sourceLng
Pasta,Pasta Süsü 40 gr Kenton,Kenton,"Pasta Yapma Ürünleri, Un Ve Bakliyatlar, Pasta Yap",hakmar,Valide  Üsküdar,29.5,2025-05-03 10:16,0,41.00527,28.97696
Pasta,Pasta Süsü 40 gr Kenton,Kenton,"Pasta Yapma Ürünleri, Un Ve Bakliyatlar, Pasta Yap",hakmar,Seyyid  Izmit,29.5,2025-05-03 10:16,0,40.8532704,29.8815203
Pasta,Vanilinli Pasta Kreması 140 gr Daphne,Daphne,"0412-toz Tatlı Ve Pi̇şi̇rme Yardımcıları, 041207-pasta Kreması, 04-bakliyat Ve Unlu Mamuller",bim,Dere  Konak,31.0,2025-05-03 10:16,0,38.41885,27.12872
Pasta,Pasta Kreması Sade 140 gr Dorbi,Dorbi,"Pasta Malzemeleri, Pasta Kreması, Un Ve Unlu Mamuller",a101,Müftülük Dulkadiroğlu Kahramanmaraş,31.0,2025-05-03 10:16,0,37.5833333,36.9333333
Pasta,Piyale Pasta Kreması Sade 140 gr,Piyale,"Hamur Ve Pasta Malzemeleri, Kakaolu Pasta Kreması, Hamur Ve Pasta Malzemeleri̇, Tatlı Ve Hamur Işleri",sok,Erzurum Pelit,31.0,2025-05-03 10:16,0,39.9043189,41.2678853
Pasta,Vanilinli Pasta Kreması 140 gr Daphne,Daphne,"0412-toz Tatlı Ve Pi̇şi̇rme Yardımcıları, 041207-pasta Kreması, 04-bakliyat Ve Unlu Mamuller",bim,Dibek  Artuklu  Mardin,31.0,2025-05-03 10:16,0,37.3122361,40.735112
Pasta,Kakaolu Pasta Kreması 160 gr Daphne,Daphne,"0412-toz Tatlı Ve Pi̇şi̇rme Yardımcıları, 041207-pasta Kreması, 04-bakliyat Ve Unlu Mamuller",bim,Yakutiye  Erzurum,31.0,2025-05-03 10:16,0,39.9043189,41.2678853
Pasta,Vanilinli Pasta Kreması 140 gr Daphne,Daphne,"0412-toz Tatlı Ve Pi̇şi̇rme Yardımcıları, 041207-pasta Kreması, 04-bakliyat Ve Unlu Mamuller",bim,Yakutiye  Erzurum,31.0,2025-05-03 10:16,0,39.9043189,41.2678853
Pasta,Kakaolu Pasta Kreması 160 gr Daphne,Daphne,"0412-toz Tatlı Ve Pi̇şi̇rme Yardımcıları, 041207-pasta Kreması, 04-bakliyat Ve Unlu Mamuller",bim,Dibek  Artuklu  Mardin,31.0,2025-05-03 10:16,0,37.3122361,40.735112
Pasta,Piyale Pasta Kreması Sade 140 gr,Piyale,"Hamur Ve Pasta Malzemeleri, Kakaolu Pasta Kreması, Hamur Ve Pasta Malzemeleri̇, Tatlı Ve Hamur Işleri",sok,Mardin Keyfi Seyran,31.0,2025-05-03 10:16,0,37.3122361,40.735112
