,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km,sourceLat,sourceLng
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,Anafartalar  Balıkesir,11.25,2025-05-03 10:16,0,39.648369,27.88261
Makarna,Makarna Burgu 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,100yıl  Kırıkhan  Hatay,11.25,2025-05-03 10:16,0,36.4018488,36.3498097
Makarna,Makarna Yüksük 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,100yıl  Kırıkhan  Hatay,11.25,2025-05-03 10:16,0,36.4018488,36.3498097
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,Konurçankaya,11.25,2025-05-03 10:16,0,39.92077,32.85411
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,Tüysüzler Izmit,11.25,2025-05-03 10:16,0,40.8532704,29.8815203
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,100yıl  Kırıkhan  Hatay,11.25,2025-05-03 10:16,0,36.4018488,36.3498097
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,Meydan  Trabzon,11.25,2025-05-03 10:16,0,41.0,39.7333333
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,Anıt  Konya,11.25,2025-05-03 10:16,0,37.8666667,32.4833333
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,Vilayet  Yenişehir  Diyarbakır,11.25,2025-05-03 10:16,0,37.91441,40.230629
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,Ömerefendifatih,11.25,2025-05-03 10:16,0,41.00527,28.97696
Makarna,Makarna Fiyonk 500 gr Oba,Oba,"1704-bakli̇yat Ve Unlu Mamuller, Makarnalar, 17-grup Spot, Bakli̇yat Ve Kuru Gıdalar, 170425-sade Makarnalar",bim,15 Mayıs Mah  Denizli,11.25,2025-05-03 10:16,0,37.77652,29.08639
