,name,brand,categories,marketName,depotName,price,updateDate,mesafe_km,sourceLat,sourceLng
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Cumhuriyet Meydanı Samsun M,23.95,2025-05-03 10:16,0,41.292782,36.33128
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Van Iki Nisan Mm Migros,23.95,2025-05-03 10:16,0,38.4941667,43.38
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Mjet Kocaeli Üniversitesi,23.95,2025-05-03 10:16,0,40.8532704,29.8815203
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Mjet Diyarbakır Ofis,23.95,2025-05-03 10:16,0,37.91441,40.230629
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Mjet Cağaloğlu Istanbul,23.95,2025-05-03 10:16,0,41.00527,28.97696
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Serracity Avm Erzurum M Migros,23.95,2025-05-03 10:16,0,39.9043189,41.2678853
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,5m Horizon Garden Avm Denizli,23.95,2025-05-03 10:16,0,37.77652,29.08639
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Yakut Mh Kayseri M Migros,23.95,2025-05-03 10:16,0,38.7333333,35.4833333
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Cengiz Topel Cad Malatya M,23.95,2025-05-03 10:16,0,38.35519,38.30946
Buğday Unu,Migros Un 1 kg,Migros,"Pl Un, Pl Sıvı Yağ Makarna Un, Pl Sade Unlar, Pl Un Çeşi̇tleri̇",migros,Mjet Manisa Anafartalar,23.95,2025-05-03 10:16,0,38.619099,27.428921
