,TR10,TR21,TR22,TR31,TR32,TR33,TR41,TR42,TR51,TR52,TR61,TR62,TR63,TR71,TR72,TR81,TR82,TR83,TR90,TRA1,TRA2,TRB1,TRB2,TRC1,TRC2,TRC3
2025-05-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-05-20,100.97,100.95,100.88,100.865,100.94,100.99,100.985,100.995,100.93,100.99,100.81,100.97,100.975,100.96,100.97,100.9,100.98,100.95,100.87,100.99,101.0,100.98,101.01,100.96,101.03,100.98
2025-05-21,101.010388,101.09133,101.243168,100.97090825,100.909718,100.959703,101.106182,101.03034825000002,100.88962800000002,101.060693,101.233402,100.97,100.914415,101.03067199999998,100.848836,101.17243,101.151666,101.161995,100.99104400000002,100.909208,100.9495,100.949706,100.939293,100.798464,100.898661,100.909314
2025-05-22,101.5760461728,101.738314512,101.7291352064,101.485859882075,101.4849033926,101.6159410695,101.6016022918,101.707251583275,101.47478784240002,101.4548297027,101.7294456698,101.464753,101.4290785165,101.62675296479998,101.4388016906,101.71876112200002,101.68776982980002,101.728502172,101.53639563760002,101.5550269312,101.6157667,101.50492938300002,101.5045530408,101.3427757056,101.3527049745,101.4744061584
2025-05-23,101.07832354655328,101.1991014450864,101.13910622220288,100.90739048074715,100.89629095292293,100.97576064076216,101.02755323885133,101.19871532535862,100.89638155169834,101.05915586685948,101.12924194034818,100.8965503832,100.71907496688448,101.03731779760412,101.21563632688068,101.11862043138022,101.09798076478718,101.1486497096196,100.99825274072074,100.90507475884031,100.96542579312,100.9365017784552,100.95642845437968,100.71445049622528,100.8662119906224,100.8655597214496
2025-05-24,100.98735305536138,101.03718288277426,101.01773929473624,100.9124358502712,100.8054842910653,100.98585821682624,100.93157706327442,101.05703712390311,100.73494734121562,100.6751310745654,101.03822562260189,100.80574348785512,100.62339184566594,100.916073016247,101.09923834510478,100.98716622481945,100.95644359171648,101.0980753847648,100.92755396380224,100.78398866912973,100.86446036732688,100.8052843261432,100.78480252600724,100.6842361610764,100.75525915743272,100.81512694158889
2025-05-25,100.96715558475032,101.07759775592736,101.02784106866572,100.9528008246113,100.84580648478172,101.03635114593465,100.96690311524657,101.0772485313279,100.76516782541798,100.73553615321012,101.0887447354132,100.82590463655268,100.6334541848505,100.92616462354862,101.1194581927738,101.0073636580644,100.94634794735732,101.10818519230328,100.92755396380224,100.80414546686356,100.89471970543708,100.84560643987363,100.79488100625984,100.6943045846925,100.79556126109568,100.82520845428304
2025-05-26,101.18928332703676,101.2999684709904,101.29051345544424,101.23042102687899,101.09792100099367,101.27883838868489,101.20922368272315,101.32994165265622,101.06746332889422,101.00752210082378,101.35157547172527,101.0880519886077,100.92529120198657,101.20875788449455,101.40259267571356,101.28008353994117,101.22899772160991,101.44184220343789,101.24042938109004,101.11663831781085,101.20749333652395,101.09772045597332,101.10734513737926,100.99638749844657,101.09794794487897,101.11760155880046
