Tarih,İşlenmemiş gıda,Diğer işlenmemiş gıda,Taze meyve ve sebze,İşlenmiş gıda,Ekmek ve diğer tahıllar,Diğer işlenmiş gıda,Dönem,SA Taze meyve ve sebze,SA Diğer işlenmemiş gıda,SA İşlenmemiş gıda,SA Web-GFE
2024-10-11,100.0,100.0,100.0,99.99999999999996,100.0,100.0,,,,0,
2024-10-12,100.15862616372384,99.95563932354418,100.41537109014406,100.03228262416428,100.0116962101026,100.03682705451908,,,,0,
2024-10-13,99.91908129104004,99.61499761227144,100.3036969320668,100.03411560514664,100.0116962101026,100.03906466422362,,,,0,
2024-10-14,100.11633935605676,99.87572677027455,100.42067491419093,100.42802558379094,100.67608954258102,100.37326571250534,,,,0,
2024-10-15,99.92571911002844,100.06854555827768,99.7450674687596,100.37614744254138,100.67608954258102,100.30993552335968,,,,0,
2024-10-16,99.95545522792791,100.15894570728004,99.6980732162894,100.5569966196112,100.6911604861444,100.5273800799963,,,,0,
2024-10-17,99.92663114502294,100.10222950359008,99.704528050587,100.6377642395961,100.6911604861444,100.62597707147069,,,,0,
2024-10-18,99.21040347622844,99.62796232693384,98.68225991207156,100.608113348785,100.7422952363158,100.57849283105288,,,,0,
2024-10-19,98.98910097145512,99.17389258216018,98.7553694764322,100.64869072395642,100.75329041265094,100.62560044708847,,,,0,
2024-10-20,99.00494388761966,99.20226118153492,98.7553694764322,100.6409912004318,100.73607707617909,100.62000108827527,,,,0,
2024-10-21,99.54159100300936,99.27992877591608,99.87254900403356,100.75218206479406,100.65663656254372,100.7732736390424,,,,0,
2024-10-22,99.84336336902736,100.03935312750627,99.5954673477231,100.81168669072852,100.80165183661911,100.81390187475644,,,,0,
2024-10-23,100.42312703724664,100.12703191242372,100.79763752982836,101.04328099795356,100.95350939815548,101.06309798899912,,,,0,
2024-10-24,100.84100750615292,100.84045801091212,100.84170165192538,101.09937334794824,101.00100693705812,101.12108763496296,,,,0,
2024-10-25,100.48203165459331,100.64269982992252,100.27881211486964,101.14603780273424,101.27540746252106,101.11747957947304,,,,0,
2024-10-26,100.47933104873596,100.5782886890664,100.35416515859517,101.14895389720922,101.27540746252106,101.12103939889256,,,,0,
2024-10-27,100.47366919974787,100.5681504844584,100.35416515859517,101.07077289889487,101.27540746252106,101.02560002324051,,,,0,
2024-10-28,100.68246952033076,100.58959388787734,100.79994118557632,101.06214787473178,101.27540746252106,101.01507103360292,,,,0,
2024-10-29,100.71911642045951,100.54611326965502,100.93793620131608,101.06330780784518,101.27540746252106,101.01648702079324,,,,0,
2024-10-30,101.16065703648005,100.4280176139687,102.0873243711864,101.13745524523232,101.27540746252106,101.1070024309697,,,,0,
2024-10-31,101.48111786682036,100.69937575629308,102.46989215967288,101.16356341846192,101.27540746252106,101.13887395737856,,,,0,
2024-11-01,101.3473546993847,100.56398300098093,102.33819008761536,101.17665383413085,101.27540746252106,101.15485406923952,2024-11,100.61840444560856,101.30819012704205,101.00362673233782,101.10621380888199
2024-11-02,101.34491728555624,100.55961852567276,102.33819008761536,101.35226550788953,102.1723552621869,101.17123151324144,2024-11,100.61840444560856,101.30379335315612,101.00117128083143,101.20933364367676
2024-11-03,101.37211171879152,100.60831334761475,102.33819008761536,101.35226550788953,102.1723552621869,101.17123151324144,2024-11,100.61840444560856,101.35284853307529,101.0285669619727,101.22048653505209
2024-11-04,101.59285438846526,100.59392014732902,102.85634096612898,101.42871360337736,102.57524957391,101.17561693235372,2024-11,101.12784783730326,101.33834881829102,101.24540561131553,101.3540881865765
2024-11-05,102.53985179057304,101.5400038874046,103.80449484922218,101.46749203101209,102.57524957391,101.22295565918024,2024-11,102.06006806519734,102.29143389463238,102.18927816086178,101.7613340516179
2024-11-06,102.789560918256,101.70053435693109,104.16700026363552,101.48720518102986,102.57524957391,101.2470204673868,2024-11,102.41648160319266,102.45315234335187,102.43696098796451,101.87385456905568
2024-11-07,102.87269609140752,101.98264089256804,103.99846947550256,101.58915447824891,102.58806489520532,101.36864600081756,2024-11,102.25078296236873,102.73734656175422,102.5225124972657,101.96912826122221
2024-11-08,103.42323223031426,101.27787463388488,106.136756266975,101.61109898601266,102.83670390983424,101.34054792247706,2024-11,104.35313600399354,102.02736479691997,103.05427038976964,102.19861983716723
2024-11-09,103.30332010823147,101.01363762060384,106.19939127562024,101.56303466151854,102.83670390983424,101.28187344632866,2024-11,104.41471843599597,101.76117234131868,102.93280148403957,102.12067221403362
2024-11-10,103.346639315735,101.09120574191029,106.19939127562024,101.6713464587748,103.24231693860617,101.32455629349371,2024-11,104.41471843599597,101.8393144926795,102.97644126817454,102.20265577606017
2024-11-11,103.91482157048772,101.07719170824078,107.50395524802596,101.68949115162776,103.4706678238021,101.29629817921466,2024-11,105.69735930826769,101.8251967504713,103.53488572371622,102.44075866350275
2024-11-12,104.112604365414,101.45714501924054,107.47132304963216,101.67238651462448,103.49415220554832,101.27023355683836,2024-11,105.66527549153099,102.20796184311673,103.73448118044197,102.51187350145693
2024-11-13,104.95756260537225,102.04784284291424,108.63787915301576,101.71571090531005,103.50021764567032,101.32178282366898,2024-11,106.81222770671334,102.80303102835158,104.57322513829774,102.87901637961576
2024-11-14,105.18225935130702,102.26302227072584,108.87461384546604,101.69243169522584,102.99325084964974,101.40527716536364,2024-11,107.04498409033589,103.01980285593476,104.7970546807353,102.95633613111816
2024-11-15,104.8873844162435,101.69991505401724,108.91900845272647,101.56518322804178,102.9744234741508,101.25409485041592,2024-11,107.0886326495366,102.45252845738923,104.49952315294243,102.75976474882802
