Ürün,Ağırlık,Ana Grup,Endeks_2024-12-31,Endeks_2025-01-06,Endeks_2025-01-07,Endeks_2025-01-09,Endeks_2025-01-10,Endeks_2025-01-11,Endeks_2025-01-12,Endeks_2025-01-13,Endeks_2025-01-14,Endeks_2025-01-15,Endeks_2025-01-16,Endeks_2025-01-17,Endeks_2025-01-18,Endeks_2025-01-19,Endeks_2025-01-20,Endeks_2025-01-21,Endeks_2025-01-22,Endeks_2025-01-23,Endeks_2025-01-24,Endeks_2025-01-25,Endeks_2025-01-26,Endeks_2025-01-27,Endeks_2025-01-28,Endeks_2025-01-29,Endeks_2025-01-30,Endeks_2025-01-31,Endeks_2025-02-01,Endeks_2025-02-02,Endeks_2025-02-03,Endeks_2025-02-04,Endeks_2025-02-05,Endeks_2025-02-06,Endeks_2025-02-07,Endeks_2025-02-08,Endeks_2025-02-09,Endeks_2025-02-10,Endeks_2025-02-11,Endeks_2025-02-12,Endeks_2025-02-13,Endeks_2025-02-14,Endeks_2025-02-15,Endeks_2025-02-16,Endeks_2025-02-17,Endeks_2025-02-18,Endeks_2025-02-19,Endeks_2025-02-20,Endeks_2025-02-21,Endeks_2025-02-22,Endeks_2025-02-23,Endeks_2025-02-24,Endeks_2025-02-25,Endeks_2025-02-26,Endeks_2025-02-27,Endeks_2025-02-28,Endeks_2025-03-01,Endeks_2025-03-02,Endeks_2025-03-03,Endeks_2025-03-04,Endeks_2025-03-05,Endeks_2025-03-06,Endeks_2025-03-07,Endeks_2025-03-08,Endeks_2025-03-09,Endeks_2025-03-10,Endeks_2025-03-11,Endeks_2025-03-12,Endeks_2025-03-13,Endeks_2025-03-14,Endeks_2025-03-15,Endeks_2025-03-16,Endeks_2025-03-17,Endeks_2025-03-18,Endeks_2025-03-19,Endeks_2025-03-20,Endeks_2025-03-21,Endeks_2025-03-22,Endeks_2025-03-23,Endeks_2025-03-24,Endeks_2025-03-25,Endeks_2025-03-26,Endeks_2025-03-27,Endeks_2025-03-28,Endeks_2025-03-29,Endeks_2025-03-30,Endeks_2025-03-31,Endeks_2025-04-01,Endeks_2025-04-02,Endeks_2025-04-03,Endeks_2025-04-04,Endeks_2025-04-05,Endeks_2025-04-06,Endeks_2025-04-07,Endeks_2025-04-08,Endeks_2025-04-09,Endeks_2025-04-10,Endeks_2025-04-11,Endeks_2025-04-12,Endeks_2025-04-13,Endeks_2025-04-14,Endeks_2025-04-15,Endeks_2025-04-16,Endeks_2025-04-17,Endeks_2025-04-18,Endeks_2025-04-19,Endeks_2025-04-20,Endeks_2025-04-21,Endeks_2025-04-22,Endeks_2025-04-23,Endeks_2025-04-24,Endeks_2025-04-25,Endeks_2025-04-26,Endeks_2025-04-27,Endeks_2025-04-28,Endeks_2025-04-29,Endeks_2025-04-30,Endeks_2025-05-01,Endeks_2025-05-02,Endeks_2025-05-03
Ampul,0.0007973640266859405,Ev eşyası,100.0,100.0,99.99925145618896,99.99788922717208,99.98767864681164,99.98767864681164,99.9881790927138,99.99299332971538,100.03552831936528,100.06207585824414,100.44353952702971,100.61822356978696,100.51817340904942,100.49188263856736,101.0468432702366,101.20261681876994,101.31051899046584,101.8150905441689,101.8477286959045,101.9571219761842,102.08024881377474,102.18685712393425,102.32009650251916,102.34406475932694,102.4319349678424,102.54258023082248,102.81449585322233,103.10891062858876,103.309773086057,103.5115916875824,103.55652571111116,103.89283288943804,103.91413772227224,104.14514712391494,104.06132942796032,104.17492352814008,105.34449760857524,105.62575514486429,105.70491148346105,105.7173670628473,105.7173670628473,105.7173670628473,105.7173670628473,106.39065439914503,106.65727810319508,106.50416283841076,106.38607508817805,106.35966867891966,106.7814647145513,106.8119290067594,107.33964610288184,107.33964610288184,107.38011518943628,107.32115978684128,107.23447880290269,107.33130942258502,107.2863666746874,107.2848982875282,107.2982130532214,107.60133605127986,107.68224710519183,107.47337913011717,107.51005192623754,107.54740348954084,107.89970453590314,107.88940874753948,108.02454891784294,107.96795596521991,107.96795596521991,108.10496822335098,107.93627955606794,108.36971576454307,108.46042561880088,108.44219354181718,108.46018073136922,108.5847358240687,108.54172402658696,108.22797523074296,108.46197345325056,108.6959194460264,108.56679960080022,108.57709545505956,108.58737115029304,108.58737115029304,108.58737115029304,108.57304458419598,108.6593700126809,108.62625337427924,108.64398791924587,108.7000348964262,108.70248910407231,108.66957101182894,108.86371311889228,108.93310871743364,108.801536518398,108.91000497403466,109.31658458983928,109.421571537971,109.63352345875614,109.866309934464,109.3098845883862,109.30390831269456,109.23893236529132,109.21033445077413,109.19453540893568,109.35088736794891,109.44673155210074,109.17388925301542,109.24692111019527,109.35233580746797,109.3535938082839,109.60137053462738,109.49713061807309,109.6838161805244,109.76123505248675,109.7376170798341,109.86682194174172,109.92201916405718
Ankastre Fırın,0.00032547627076998694,Ev eşyası,100.0,100.0,100.00031255989188,100.1633231532736,100.17523580599432,100.16366108925132,100.16366108925132,100.16892658530718,100.11098860647571,100.1528713757189,100.35015057359176,100.09913164335624,100.2355415924271,100.32445338520354,100.49327584090877,100.5242267760587,100.69272844420809,100.65582008533046,100.54773525367682,100.61075243249508,100.60933983155807,100.6806295950067,100.73712910377824,100.8968193013726,100.88574056102654,100.85686586895316,101.07607170424636,101.122174430073,101.28723643243924,101.42370544768876,101.476924423673,101.44124865099444,101.39220924990968,101.42102455049532,101.43548691842577,101.57023115314897,101.70259838596094,101.70258812153338,101.67226404547172,101.67226404547172,101.67226404547172,101.67226404547172,101.67226404547172,102.0160472814698,102.02127819453564,102.64313090501273,102.60123783218803,102.73214168782565,102.74387087760904,102.98231724311832,103.30317188478269,103.30317188478269,102.92965855077176,103.0997281861624,103.49087157077264,103.68087017107456,103.83540280160214,103.92336371990476,103.5284238975978,104.05901405090222,103.93690309837928,103.77516456428869,104.06038134553005,104.12647102492552,104.0464780460299,103.90658350518346,104.04087300636834,104.24728770296151,104.24728770296151,104.2650618964787,104.60684660251802,104.84307626464005,104.82954332307864,105.02338641491784,104.81360809749016,104.83294690880273,104.8522527831666,105.00352959707767,104.65924246720022,104.68561666838046,104.73495345523236,104.79391466574752,104.97551563389,104.97551563389,104.97551563389,105.27967031909492,105.46266289471228,105.55448438750727,105.46570711167556,105.7024181490684,105.87547337011392,105.90611437700304,105.9404070062004,105.88967849688252,105.68300558229332,105.53133964119507,106.11617282247252,106.27202577716216,106.50412842767678,106.58716926244108,106.04337934328916,106.18938801782488,105.9659200948618,105.86647648830684,106.01010360015522,105.93576206762116,106.35570310293316,106.22477523608664,106.13432079988432,106.1629945366982,105.94368119598543,106.13820364592266,106.04892358708877,106.05055886303472,106.35520649079042,106.38376793715658,106.55918250517804,106.74783470117724
Ankastre Mikrodalga Fırın,0.0008735126437044886,Ev eşyası,100.0,100.0,99.99685041577357,99.99867956345092,99.9783796933968,99.92606405139604,99.857056140217,99.84997471958904,99.98306538099924,99.91951378844864,99.91619520374364,99.88646141808012,100.11671353348576,100.65475836684264,100.7545891197219,100.63590612602177,100.5692826108874,100.83018591473213,100.88986037566995,101.03849386133668,101.04479008093104,101.01243476714362,100.72335280702104,100.70715697201354,100.98590964122992,101.05683783534036,101.23310546042788,101.22177377587448,101.17683400353263,100.91620462856888,100.99151129088295,100.87005576030008,100.95062535967244,101.75687621112384,101.68709292482748,101.69411216245,101.69411216245,102.34558241315696,102.34558241315696,102.34558241315696,102.34558241315696,102.34558241315696,101.75544748830887,102.02467487618377,102.0203476561583,103.1871534362299,103.41052948918046,103.60062830862928,103.0439948950746,103.41989261239308,103.83794008650028,103.83794008650028,103.71430307696622,103.8609112354344,104.60151202263124,104.19159400813156,104.01359566321712,104.03046106139728,104.07383264741097,104.0254652703984,104.13418214350534,103.88998882256452,104.91606450455052,105.2393148051822,104.02317256228264,104.36988158222157,104.08612900398224,103.93704239263006,103.72638429975798,103.8443637592592,103.89851467012578,104.49880028115253,104.37238296904044,104.34041561954132,104.28066895739263,104.42199927831368,104.3651479789593,104.19179670048308,104.55289919562784,104.14369436146478,103.49102306556692,103.69990539519544,103.98846015152355,103.98846015152355,103.98846015152355,104.50598149759313,104.15014011691476,104.19357914498704,104.08266378429036,103.64602624359516,103.5344544377968,103.74719921930686,103.75704056285056,103.49762764249998,103.3505619903626,103.2125009731596,104.1956608347049,104.03748652461984,104.5939330760358,104.32151907467768,103.4313670721226,103.02962755342548,103.42310419112678,102.96340069968504,103.06028867824767,103.21601164379648,103.62963819106456,103.4043276840206,103.32381598096325,103.3217765267502,103.65703649387169,104.30345689624863,104.5033579212958,104.48804682115144,104.37441353718432,105.09574885443617,104.88931538104973,105.09361276325915
Ankastre Ocak (Set Üstü) ,0.0006201988868345528,Ev eşyası,100.0,100.0,100.00128191682222,100.05469446309333,100.05469446309333,100.05023513347396,100.06144276393664,100.11097308644048,100.11583094400002,99.92590712490396,99.98130926502787,99.78712358019104,99.97839566809922,100.1733277969153,100.34854953428076,100.2748470286882,100.15002312598348,100.28781179324734,100.50023167329044,100.59414524250188,100.5700755237377,100.78311446634008,100.91182883960408,101.0600263167346,100.94581505149964,100.959076932867,101.41768368171124,101.43869328961723,101.47282145911691,102.17895216219556,101.8954583980648,102.08741975087484,102.2023221659437,102.08618097514992,102.06920450951311,102.23756570489516,102.57117043605584,102.57117043605584,102.61727874677976,102.61727874677976,102.61727874677976,102.61727874677976,102.67091389843168,102.88814988217769,102.94943872985114,103.50747217317446,103.57238596866068,103.7768002187952,103.66047065862372,103.89406459876204,103.9855663977681,103.9855663977681,104.05892310141392,104.04056997949326,104.24213482568416,104.10863484368214,104.47795939107374,104.68362844801575,104.81305002823969,104.77049166100257,104.367344747529,104.50150809642616,104.4279622980407,104.7513430191669,104.53355680793985,104.4893831903818,104.3305330025388,104.2838208365491,104.20417488306668,104.32860034918134,104.51900537994838,104.68038792767888,104.42667907531064,104.53394868687688,104.4326440777788,104.63476717023887,104.57140664847496,104.5167970811513,104.40527946572502,104.22063011674416,104.3848310066189,104.38965815305518,104.31265706601718,104.31265706601718,104.31265706601718,104.87395386471266,105.1339082862207,105.0752013410289,104.82412072447327,104.7532377465556,104.52988319261549,104.76304216429808,104.60199718086876,104.4869760517282,104.17817430351307,104.15219011019336,104.87947113598987,105.0510697681831,105.12306841668658,105.19271443588906,104.3799262076377,104.50494198652586,104.55680173774984,104.41373020886228,104.36978671869127,104.46679776346087,104.74746512405572,104.4524028920441,104.30803020419138,104.4772624515012,104.35051177013416,104.4130007322262,104.47883365373448,104.72777010262196,105.08861043441765,105.3510842531068,105.2877288937644,105.32976911508467
Antep Fıstığı,0.000558109215053616,Gıda ve alkolsüz içecekler,100.0,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,103.00030003000296,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.90850150340472,102.34287593691403,102.34287593691403,102.34287593691403,102.34287593691403,102.34287593691403,104.7798141564541,102.34287593691403,102.34287593691403,102.3911421572524,102.37512950792001,102.3864802903962,102.39205727018701,102.82316374288192,102.86836461852687,102.8625644329205,102.8611421360202,102.89020695560605,102.90173946498895,102.91056670049402,102.95826163774622,103.06023030362441,102.50081680261115,102.50726752935326,102.5345715315109,102.53459672496952,102.52566637525615,102.59444716967117,102.62747126007123,102.63900489169018,102.6152473844819,103.40396453400903,103.40974903549733,103.39376165531364,103.44639571094226,103.46985615090465,103.4646415118559,104.84364806386151,103.86648984652113,103.86648984652113,103.86648984652113,103.86648984652113,103.86648984652113,103.86648984652113,104.13989466317423,104.13989466317423,104.13989466317423,104.13989466317423,107.94247123700987,107.94247123700987,107.17181519318078,107.17181519318078,107.17181519318078,107.17181519318078,107.17181519318078,106.80311912063046,106.80311912063046,106.80311912063046,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,107.29019297364894,109.34929768728463,109.34929768728463,109.34929768728463,111.68170580052829,111.68170580052829,111.68170580052829,111.68170580052829,112.97046974385181,115.88508318904746,115.88508318904746,115.88508318904746,115.88508318904746
Araba Kiralama Ücreti,0.0007617387157305747,Ulaştırma,100.0,100.0,100.0,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.05586901485629,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,63.03512727937208,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,80.42785286113725,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,69.34620716897238,105.9314741119148,105.9314741119148,105.9314741119148,105.9314741119148,105.9314741119148,95.12016650732248,95.12016650732248,95.12016650732248,95.12016650732248,95.12016650732248,94.93458504304434,94.93458504304434,94.31440377688034,94.80043012261194,94.67931240061706,94.86989034507154,95.9301331151615,95.8970540658129,95.72869709291928,95.89408966011304,97.56621191516491,97.28610565357047,97.82719648720033,98.06205202329518,97.8221595646241,97.75868091715718,98.47487820469723,96.64142423166948,95.45181018150646,94.8363856487078,94.49372897979408,94.13661017655856,95.99689255122918,95.6642517122407,98.09428638055938,95.5246685247081
Araçların  Tamirine ve Bakımına Ödenen Ücretler (İşçilik),0.001604125419237317,Ulaştırma,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,137.18033311105785,137.18033311105785,137.18033311105785,137.18033311105785,137.18033311105785,137.18033311105785,137.18033311105785,137.18033311105785,140.07656463062733,140.07656463062733,140.07656463062733,140.07656463062733,140.07656463062733,140.07656463062733,122.76062203948602,122.76062203948602,122.76062203948602,122.76062203948602,122.76062203948602,122.76062203948602,122.76062203948602,122.76062203948602,132.34870800865758,132.34870800865758,132.34870800865758,132.34870800865758,132.34870800865758,132.34870800865758,139.58386508956963,139.58386508956963,139.58386508956963,139.58386508956963,139.58386508956963,139.58386508956963,139.58386508956963,139.53795006765677,139.53795006765677,139.5379500676568,139.53795006765682,139.53795006765685,139.53795006765688,139.5379500676569,139.5379500676569,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,167.2302248328395,148.31455421150028,148.31455421150028,148.31455421150028,148.31455421150028,148.31455421150028,148.31455421150028,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,161.3349501904512,134.83638313462703,134.83638313462703,134.83638313462703,134.83638313462703,134.83638313462703,134.83638313462703,134.83638313462703,114.30399111878472,114.30399111878472,114.30399111878472,114.30399111878472,114.30399111878472,114.30399111878472,114.30399111878472,135.876906248508,135.876906248508,135.876906248508,135.876906248508,135.876906248508,135.876906248508,135.876906248508,112.41433440356072,112.41433440356072,112.41433440356072,112.41433440356072,112.41433440356072,112.41433440356072,112.41433440356072,136.70736712107515,136.70736712107512,136.7073671210751,136.70736712107507,136.70736712107504,136.707367121075,128.40694601367545,128.40694601367545,128.40694601367545,128.40694601367545,128.40694601367545,128.40694601367545,128.40694601367545,128.40694601367545,109.25083422615334,109.25083422615334,109.25083422615334
Armut,0.0007467296140152878,Gıda ve alkolsüz içecekler,100.0,95.43707079356008,94.17410712257886,94.15862089711058,94.15862089711058,94.15862089711058,94.330130224792,94.330130224792,94.330130224792,94.461753662315,94.67840906062303,94.67840906062303,94.67840906062303,94.67840906062303,94.67840906062303,97.84491103589473,97.84491103589473,97.84491103589473,96.21280242812331,96.11634849085199,96.19745933346034,96.3772004757127,96.06017021098994,97.8412721636442,97.8412721636442,97.8412721636442,97.8412721636442,97.8412721636442,97.99810738147045,98.75525820563098,98.33951255178815,98.33951255178815,98.32195169685394,98.69223271002315,98.69223271002315,98.69223271002315,98.69223271002315,99.22623879016344,99.29210878768745,99.29210878768745,97.7447547774545,96.87078522472332,96.87078522472332,96.87078522472332,96.56356786713765,96.56356786713765,97.84107854685011,98.2975387352789,98.33091594887134,98.34731892448005,98.42952625399258,98.56203891583371,98.54501945365676,96.59713157781049,96.68072201890921,96.23460622109916,96.25266470692038,98.36074699933683,99.07167687421591,99.18542244592481,99.71609858400342,100.64999508359504,100.65004918135607,100.63087308992577,100.46355396697612,100.53429373121749,100.55900896603443,100.06626917650212,99.68585107576662,99.69804968529148,99.6643325597566,99.77531654703104,99.8248150386545,99.8138098628922,99.79952891092472,99.79952891092472,99.79952891092472,99.79952891092472,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,100.67452478063474,98.73528536892194,98.1606572208932,99.0697185566051,99.19415702939739,99.19956537421807,99.1979391564495,99.1979391564495,99.09623849266119,99.09623849266119,99.09623849266119,99.09623849266119,96.98400896580424,99.25721231989948,99.25721231989948,99.25721231989948,99.25721231989948,100.26118718681663,100.30944119598556,100.30944119598556,100.30944119598556,103.48957651567727,105.01077289072671,107.92727173555383,107.92727173555383,108.75812063267125,108.75812063267125,108.75812063267125,108.75812063267125,108.60264083190975,108.60264083190975,107.05095286460143,108.35839551628162
Ay Çekirdeği,0.0020499458623556687,Gıda ve alkolsüz içecekler,100.0,99.98533724340174,99.98533724340174,99.98533724340174,99.98533724340174,99.98533724340174,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.000031245495,100.5340322467225,100.5340322467225,100.5340322467225,100.73271401636616,101.5597197481735,101.61019143328687,101.60313507850071,101.60208966068205,101.60183135829004,101.60598259121265,101.61730188016165,101.62285633871673,101.62588850610317,101.6243006706824,101.62626339045995,101.62695658292853,101.62862552909782,101.96312654404034,102.0494268083221,102.0494268083221,102.17102662244311,102.12219176235486,102.15679787755145,102.17325616619102,102.15461620567976,101.88766268084015,101.87123715263,101.86720977655517,101.94666975126945,101.97145453829582,101.89096630776031,102.5078855658835,102.43703023628203,102.52184150804395,102.53201938957429,102.5751008917091,102.57514064921192,102.56104776662498,103.33773018263204,103.45665080046989,103.54037072063018,103.50492783258882,103.4869275451581,103.49548895308993,103.47182604103848,103.54972390748618,103.58445357970578,103.5772479371683,103.5678970986205,103.12476109457702,103.12453127446703,103.12592979487916,103.12679713837566,103.13100630787324,103.13093523110464,103.01194017911648,103.0127158853274,103.0127158853274,103.0127158853274,103.01372178941106,103.01494804621734,103.01567460826715,103.01289059793586,102.89188716021245,103.02505317601998,103.02462499645524,103.0251896743675,103.02814746691877,103.41230940338872,103.41116678715802,102.97074821515648,104.37517188117693,104.37517188117693,104.37517188117693,104.38895734010565,104.39454419908796,104.39454419908796,103.72377134465587,103.72377134465587,103.72377134465587,104.95675581097841,104.95675581097841,105.14787203599512,105.14787203599512,105.14787203599512,105.14787203599512,105.14787203599512,105.14787203599512,107.87179678296242,107.87179678296242,107.15641313174997,107.04519734230342
Ayakkabı (Erkek için),0.002698647342484077,Giyim ve ayakkabı,100.0,100.0,99.99993087705236,99.99999417631058,100.01053633863395,100.02393644759285,100.0170812018381,100.0170812018381,100.05739560309358,100.13065632539198,100.14729972635894,100.10093038311712,100.18403169543365,100.29978679156252,100.26557035551238,100.03248045497811,100.08426493979164,100.00785573990254,100.00504189770209,100.213206892016,100.12401937321223,100.21725939651851,101.0345909162976,100.80425682104924,100.73849248102783,100.83140292321973,101.14578976276866,101.44744016384624,101.53071690751231,101.81545750921072,101.68506188610084,101.97155788555276,101.89652466089107,101.89289427913168,101.90259899538673,102.33965890484193,102.68398652366376,102.5754035090808,102.74981764287422,102.75913663516194,102.75913663516194,102.75913663516194,102.75913663516194,104.25096920073588,104.28091211582598,107.51750116522332,109.04685682813282,109.02000061739987,108.98521358412556,109.35153121011705,110.93546449291344,110.93546449291344,111.00934422372572,111.03249050327736,110.9542831320655,111.08874657740732,111.18736181455164,111.12755623401692,111.59317399496874,111.40732507182828,111.3114394830076,111.51001946622388,111.35945556859812,111.32634406208076,111.51157563152992,110.90771363533337,110.48509968035188,110.30827356799546,110.22839438575024,110.27627928033922,110.53817414600688,110.76304853882937,110.9213532599948,111.00168970023714,110.93628319334286,110.99354448916964,110.99225116111924,110.82426418260222,110.77627789504744,110.63990371012194,110.63984715295356,110.55175253864088,110.57531981203522,110.57531981203522,110.57531981203522,110.9168193379317,110.9521496635683,110.82154928188112,110.75096397233686,110.76893917083078,110.60017597259622,110.66415545146528,110.80191295515704,111.57037390602709,111.34402154065324,111.13186980333666,113.027090864141,113.33389587760134,113.53257954943638,114.49531848474597,110.52688900733553,108.77830908900812,108.08768946643912,107.74241440010374,107.65783868793444,107.71769066696264,109.8092824776787,109.2598785454458,108.83550495624574,109.09954510166446,109.12403984681912,109.19570073339992,109.28258513322068,109.1926741657612,109.35682561108214,108.92915126704668,109.0216289262681,109.67072503119924
