category,name,main_price,has_multiple_markets,market_count,prices,page,average_price,min_price,max_price
Meyve ve Sebze,Domates Salkım ,19.9,True,+2 Market,"[19.9, 49.95, 59.9]",1,43.25,19.9,59.9
Meyve ve Sebze,Domates Kokteyl Paket,45.9,False,,[],1,,,
Meyve ve Sebze,Kara Lahana Demet,29.5,False,,[],1,,,
Meyve ve Sebze,Elma Golden Atıştırmalık,29.0,False,,[],1,,,
Meyve ve Sebze,Mandalina Murkot ,39.5,False,,[],1,,,
Meyve ve Sebze,Domates,32.95,True,+4 Market,"[32.95, 39.9, 39.9, 39.95, 49.5]",1,40.44,32.95,49.5
Meyve ve Sebze,Semiz Otu Demet ,39.5,False,,[],1,,,
Meyve ve Sebze,Domates Kokteyl Paket,45.9,False,,[],1,,,
Meyve ve Sebze,Kumkuat Paket,29.5,False,,[],1,,,
Meyve ve Sebze,Sarımsak Kuru,249.9,False,,[],1,,,
Meyve ve Sebze,Salata Kıvırcık,29.9,False,,[],1,,,
Meyve ve Sebze,Maydonoz Adet,7.95,False,,[],1,,,
Meyve ve Sebze,Biber Sivri,86.95,True,+1 Market,"[86.95, 89.5]",1,88.225,86.95,89.5
Meyve ve Sebze,Mısır Haşlanmış Paket,69.0,False,,[],1,,,
Meyve ve Sebze,Kıvırcık Adet,24.95,False,,[],1,,,
Meyve ve Sebze,Salata Kıvırcık  Adet,44.95,False,,[],1,,,
Meyve ve Sebze,Roka Demet ,16.95,True,+1 Market,"[16.95, 19.5]",1,18.225,16.95,19.5
Meyve ve Sebze,Karnabahar,29.95,True,+1 Market,"[29.95, 34.9]",1,32.425,29.95,34.9
Meyve ve Sebze,Korkuteli Armut Karyağdı,49.95,False,,[],1,,,
Meyve ve Sebze,Kıl Sivri Biber,139.95,False,,[],1,,,
Meyve ve Sebze,Karnabahar Adet,39.95,False,,[],1,,,
Meyve ve Sebze,Salata Kıvırcık  Adet,44.95,False,,[],1,,,
Meyve ve Sebze,Mango Adet,44.95,False,,[],1,,,
Meyve ve Sebze,Soğan Taze Demet Işl.,44.95,False,,[],1,,,
Meyve ve Sebze,Çilek Paket,135.0,False,,[],2,,,
Meyve ve Sebze,Roka Adet,14.95,False,,[],2,,,
Meyve ve Sebze,Zerdeçal Paket,59.9,False,,[],2,,,
Meyve ve Sebze,Kivi,89.0,True,+1 Market,"[89.0, 99.5]",2,94.25,89.0,99.5
Meyve ve Sebze,Soğan Yeşil Demet ,34.95,False,,[],2,,,
Meyve ve Sebze,Havuç ,24.95,True,+2 Market,"[24.95, 29.9, 32.9]",2,29.25,24.95,32.9
Meyve ve Sebze,Patlıcan Kemer Pazar,59.9,False,,[],2,,,
Meyve ve Sebze,Biber Kırmızı Paket,39.9,True,+1 Market,"[39.9, 114.95]",2,77.425,39.9,114.95
Meyve ve Sebze,Mandalina,38.0,True,+1 Market,"[38.0, 39.9]",2,38.95,38.0,39.9
Meyve ve Sebze,Avokado Adet,39.9,True,+1 Market,"[39.9, 49.5]",2,44.7,39.9,49.5
Meyve ve Sebze,Soğan Gümüş File,56.95,False,,[],2,,,
Meyve ve Sebze,Armut Santa Marıa,54.9,False,,[],2,,,
Meyve ve Sebze,Maydanoz Demet Paket Adet,14.95,False,,[],2,,,
Meyve ve Sebze,Elma Granny Smith,45.0,False,,[],2,,,
Meyve ve Sebze,Limon,29.75,True,+1 Market,"[29.75, 29.75]",2,29.75,29.75,29.75
Meyve ve Sebze,Biber Kırmızı Paket,39.9,True,+1 Market,"[39.9, 114.95]",2,77.425,39.9,114.95
Meyve ve Sebze,Salata Atom Adet ,52.95,False,,[],2,,,
Meyve ve Sebze,Domates Kahvaltılık,49.5,False,,[],2,,,
Meyve ve Sebze,Biber Yeşil ,84.9,False,,[],2,,,
