,name,main_price,has_multiple_markets,market_count,prices,page,average_price,min_price,max_price
0,Süt Yarım Yağlı 200 Ml Pınar,14.95,False,,[],1,,,
1,Milupa Junior Devam Sütü 200 Ml,26.0,False,,[],1,,,
2,%3.1 Yağlı Süt 200 Ml Dost,9.75,False,,[],1,,,
3,Süt 1 Lt %1.5 Yağlı Pınar,43.0,True,+1 Market,"[43.0, 43.0]",1,43.0,43.0,43.0
4,Sütlü Kahveli İçecek 230 Ml Macchiato Torku,19.95,False,,[],1,,,
5,Süt Yarım Yağlı 180 Ml Sek,10.75,False,,[],1,,,
6,Süt 1 Lt %1.5 Yağlı Pınar,43.0,True,+1 Market,"[43.0, 43.0]",1,43.0,43.0,43.0
7,Yörsan Yarım Yağlı Uht Süt 1 Lt,31.5,False,,[],1,,,
8,Migros Yarım Yağlı Laktozsuz Uht İçme Sütü 1 Lt,39.95,False,,[],1,,,
9,Süt Yağlı 1 Lt Birşah,29.75,False,,[],1,,,
10,Süt %0.5 Yağlı 4 X 1 Lt Torku,149.0,False,,[],1,,,
11,Mis Uht Süt %3.1 Yağlı 1 Lt,33.75,False,,[],1,,,
12,İçim Rahat Laktozsuz Süt 500 Ml,35.9,False,,[],1,,,
13,Pınar Süt %1 Yağlı 1 Lt,38.95,True,+1 Market,"[38.95, 38.95]",1,38.95,38.95,38.95
14,Süt Çocuk 500 Ml Pınar,31.95,False,,[],1,,,
15,Migros Yarım Yağlı Laktozsuz Uht İçme Sütü 1 Lt,39.95,False,,[],1,,,
16,Alpimilk Süt Aromalı Çikolatalı 180 Ml,14.95,False,,[],1,,,
17,Nesquik Çilekli Süt 180 Ml,18.5,True,+1 Market,"[18.5, 24.75]",1,21.625,18.5,24.75
18,Tarım Kredi Çilek Aromalı Süt 200 Ml,10.5,False,,[],1,,,
19,Nesquik Laktozsuz Şeker İlavesiz Kakaolu Süt 180 Ml,28.75,False,,[],1,,,
20,%1.5 Yağlı Süt 1 Lt Dost,31.0,False,,[],1,,,
21,Pınar Kido Süt Kakaolu 180 Ml,12.9,True,+5 Market,"[12.9, 12.95, 14.75, 14.75, 14.95, 14.95]",1,14.208333333333334,12.9,14.95
22,İçim İçimino Muzlu Süt 180 Ml,12.75,True,+1 Market,"[12.75, 14.5]",1,13.625,12.75,14.5
23,Pınar Bitkisel Bazlı Badem İçeceği 1 Lt,114.95,False,,[],1,,,
24,Süt Çilekli 180 Ml Danone,11.5,False,,[],2,,,
25,Süt Pastörize Günlük 1 Lt Dost,38.5,False,,[],2,,,
26,Pınar Kido Süt Muzlu 180 Ml,12.9,True,+2 Market,"[12.9, 12.95, 14.95]",2,13.6,12.9,14.95
27,Nesquik Kakaolu Süt 180 Ml,18.5,True,+1 Market,"[18.5, 24.75]",2,21.625,18.5,24.75
28,Süt Kakao Aromalı 200 Ml Lt Dost,10.75,False,,[],2,,,
29,Pınar Protein Çilekli 500 Ml,47.9,True,+1 Market,"[47.9, 58.25]",2,53.075,47.9,58.25
30,Süt Karamelli 180 Ml Pınar Kido,14.95,False,,[],2,,,
31,Yörsan Yarım Yağlı Uht Süt 1 Lt,31.5,False,,[],2,,,
32,İçim İçimino Çilekli Süt 6x180 Ml,82.5,False,,[],2,,,
33,Süt Yağlı 200 Ml Birşah,9.75,False,,[],2,,,
34,Pınar Süt 6 X 200 Ml,90.9,True,+1 Market,"[90.9, 102.0]",2,96.45,90.9,102.0
35,Mis Uht Süt Laktozsuz 1 Lt,39.75,False,,[],2,,,
36,%1.5 Yağlı Süt 1 Lt Dost,31.0,False,,[],2,,,
37,Starbucks Chilled Klasik Coffee Latte,119.95,False,,[],2,,,
38,Süt Laktozsuz 1 Lt Birşah,39.75,False,,[],2,,,
39,İçim Çocuk Devam Sütü 200 Ml,18.95,False,,[],2,,,
40,Mis Çikolatalı Süt 200 Ml,10.75,False,,[],2,,,
41,İçim Süt 200 Ml,15.85,True,+1 Market,"[15.85, 15.95]",2,15.899999999999999,15.85,15.95
42,Süt %2.5 Yağlı 1 Lt Pınar,32.95,True,+1 Market,"[32.95, 45.75]",2,39.35,32.95,45.75
43,Pınar Denge Laktozsuz Süt 1 Lt,39.95,True,+2 Market,"[39.95, 47.5, 57.95]",2,48.46666666666667,39.95,57.95
44,Sütlü Kahveli İçecek 230 Ml Mocha Torku,25.0,False,,[],2,,,
45,Alpro Badem Sütü 1 Lt,99.9,False,,[],2,,,
46,Mis Bakraçlık Süt Tam Yağlı 1 Lt,39.5,False,,[],2,,,
47,Sütlü Kahveli İçecek 230 Ml Mocha Torku,25.0,False,,[],2,,,
48,Süt Yarım Yağlı 180 Ml Danone,7.95,False,,[],3,,,
49,Mis Uht Süt Yarım Yağlı 1 Lt,31.0,False,,[],3,,,
50,Sütlü Kahveli İçecek 230 Ml Latte Torku,25.0,False,,[],3,,,
51,Pınar Süt Denge Laktozsuz 200 Ml,19.95,True,+1 Market,"[19.95, 20.0]",3,19.975,19.95,20.0
52,Mis Uht Süt Yarım Yağlı 1 Lt,31.0,False,,[],3,,,
53,Starbucks Chilled Klasik Caramel Macchiato,119.95,False,,[],3,,,
54,Pınar Süt Denge Laktozsuz 200 Ml,19.95,True,+1 Market,"[19.95, 20.0]",3,19.975,19.95,20.0
