,Şok,Carrefour,Migros,Mopaş,Bim,Hakmar,A101,Onur Market,Tarım Kredi
2025-01-07,100.0,99.97149108636113,100.6509561593995,100.0,100.0,100.0,100.0,100.0,100.0
2025-01-09,100.17201940642629,100.32536393364325,101.48210333842928,100.0,100.0,100.0,100.0,100.0,100.0
2025-01-10,100.17201940642629,100.41820744384933,101.30724516894988,100.0,100.0,100.0,100.0,100.0,100.0
2025-01-11,100.17201940642629,100.6371395156412,101.25498168409854,100.0,100.0,100.0,100.0,99.87529268790864,100.0
2025-01-12,100.17201940642629,100.70242979364704,101.26700972211115,100.0,100.0,100.0,100.0,99.86723570290324,100.0
2025-01-13,100.17201940642629,101.00773729010982,101.27376901434836,100.0,100.0,100.0,100.0,99.86723570290324,100.0
2025-01-14,100.17201940642629,101.10300938174088,101.27376901434836,100.0,100.0,100.0,100.0,99.824592671204,100.0
2025-01-15,100.17201940642629,101.25649821318504,101.27376901434836,100.0,100.0,100.0,100.0,99.824592671204,100.0
2025-01-16,100.17201940642629,101.13251911013464,101.27438190997292,100.0,100.0,100.0,100.0,99.824592671204,100.0
2025-01-17,100.17201940642629,101.22495757697529,101.27438190997292,100.0,100.0,100.0,100.0,99.824592671204,100.0
2025-01-18,100.17201940642629,101.22715815486728,101.27549286630476,100.0,100.0,100.0,100.0,99.824592671204,100.0
2025-01-19,100.17201940642629,101.26879752118688,101.27549286630476,100.0,100.0,100.0,100.0,99.824592671204,100.0
2025-01-20,100.17201940642629,101.42766319200692,101.27549286630476,100.0,100.0,100.0,100.0,99.824592671204,100.0
2025-01-21,100.17201940642629,101.4321887071296,101.27549286630476,100.0,100.0,100.0,100.0,99.82985482831732,100.0
2025-01-22,100.17201940642629,101.72303141476992,101.27549286630476,100.0,100.0,100.0,100.0,99.82985482831732,100.0
2025-01-23,100.17201940642629,101.93559175179784,101.27549286630476,100.0,100.0,100.0,100.0,99.82985482831732,100.0
2025-01-24,100.11692461063772,101.89518810195212,101.50974792313284,100.0837610296051,100.0,100.0,100.0,99.84280173177264,100.0
2025-01-25,100.1269029643172,101.53714024230118,101.76768618815382,101.67560170211677,100.0,100.0,100.0,99.84280173177264,100.0
2025-01-26,100.1269029643172,102.07130776138654,101.76098422009048,102.03379527055324,100.0,100.0,100.0,99.84280173177264,100.0
2025-01-27,100.1269029643172,102.06230069665044,102.10540019780008,102.0276400077234,100.0,100.0,100.0,99.84280173177264,100.0
2025-01-28,100.1269029643172,102.1660268575458,102.2193507768427,102.39533144606278,100.0,100.0,100.0,99.84280173177264,100.0
2025-01-29,100.11706668921748,102.07553720719848,103.2292818331159,101.62825355456368,100.0,100.0,100.0,99.84280173177264,100.0
