,Ürün,Ağırlık
0,Antep Fıstığı,0.19808629800213892
1,Armut,0.23461553125490808
2,Ay Çekirdeği,0.727574775736012
3,Ayran,0.18168653240973057
4,Ayva,0.08704275861545414
5,Ayçiçek Yağı,2.7966979770514313
6,Badem İçi,0.17781011542428743
7,Baharat,0.5340173124143874
8,Baklava,1.27126848714148
9,Bal,0.49909097358020627
10,Balık,1.0806
11,Bebek Sütü (Toz Karışım),0.37021501598126033
12,Beyaz Lahana,0.16846126972669334
13,Beyaz Peynir,3.263476421684008
14,Bisküvi,1.0230943774146597
15,Bitki ve Meyve Çayı (Poşet),0.04149272815899105
16,Bulgur,0.44012028328464353
17,Buğday Unu,1.5049647007340963
18,Ceviz İçi,0.8147803902904192
19,Cipsler,0.6359998372575159
20,Dana Eti,9.1193
21,Dereotu,0.054386118371151586
22,Dolmalık Biber,0.20568595293927544
23,Domates,3.174968834866546
24,Dondurma,0.471
25,Ekmek,8.7763
26,Ekmek Hamuru (Yufka),0.372411663733534
27,Elma,0.9809559452405218
28,Fındık Ezmesi,0.049145931240731744
29,Fındık İçi,0.2965996138895359
30,Gazoz Meyveli,0.23350227680869196
31,Gofret,0.5466134487168728
32,Havuç,0.3133128272207957
33,Hazır Et Yemekleri,0.4150497196622125
34,Hazır Kahve,0.27569968785380566
35,Hazır Pakette Toz Tatlılar (Puding),0.09042587168065182
36,Hazır Sütlü Tatlılar,0.10049578631621954
37,Hazır Çorbalar,0.140984356919341
38,Ispanak,0.28802589533166134
39,Kabak,0.23969123784891505
40,Kabak Çekirdeği,0.1376541652574704
41,Kabartma Maddeleri,0.08421521585025031
42,Kahve,0.4090003121461943
43,Kakao,0.01672726621847563
44,Kakaolu Toz İçecekler,0.00487273378152437
45,Karnabahar,0.18981216178923815
46,Karpuz,1.0078625004421389
47,Kavun,0.46327593643358217
48,Kağıtlı Şeker,0.5564422389846873
49,Kaşar Peyniri,1.5291028231685557
50,Kek,0.28664939009516976
51,Kesme Şeker,0.20318228479301073
52,Ketçap,0.10122433132320291
53,Kivi,0.06960810884341681
54,Kola,0.8500508376653619
55,Konserve Balık,0.1221
56,Konserveler,0.1161741073663514
57,Kraker,0.2100059985497452
58,Krem Peynir,0.24594343082788775
59,Kuru Fasulye,0.3974806973417432
60,Kuru Kayısı,0.1422459470527176
61,Kuru Soğan,1.0652732673399008
62,Kuru Üzüm,0.1442028416401719
63,Kuzu Eti,3.6798
64,Kırmızı Lahana,0.06567239464453119
65,Kırmızı Turp,0.06876832900267828
66,Kıvırcık,0.312895882369172
67,Leblebi,0.1607317267955919
68,Limon,0.4918879443702721
69,Lokum,0.24204462972272434
70,Maden Suyu ve Sodası,0.2884307054233337
71,Makarna,0.7875870789241758
72,Mandalina,0.6796625471596529
73,Mantar,0.23497239469348086
74,Margarin,0.2894
75,Maydanoz,0.2410646969861801
76,Mayonez,0.07532448731104002
77,Mercimek,0.4665848608930632
78,Meyve Suyu,0.4281
79,Muz,1.345145488662195
80,Nane,0.03692685279497381
81,Nar,0.11996756326309793
82,Nohut,0.2517344417651936
83,Pasta,1.0207566343485384
84,Patates,1.0684
85,Patlıcan,0.6884910029350122
86,Pekmez,0.17447910741386097
87,Pirinç,1.2067
88,Portakal,0.717706174096956
89,Pırasa,0.1693596789522096
90,Reçel,0.11593864297636097
91,Roka,0.0684586070720185
92,Sakatat,0.3098
93,Sakız,0.14463512258039796
94,Salam,0.3411964347190832
95,Salatalık,1.264595790474885
96,Salça,0.7968088487133752
97,Sarımsak,0.24079972491902676
98,Sirke,0.11392626762624083
99,Sivri Biber,0.7274714162205833
100,Sosis,0.1930782478470063
101,Soğuk Çay,0.10716035311621577
102,Su,1.2032692945766663
103,Sucuk,1.7652755977716978
104,Süt,2.5092
105,Tahin,0.19155315856787103
106,Tahin Helvası,0.19094534478884007
107,Tahıl Gevreği,0.1519
108,Tavuk Eti,5.6841
109,Taze Fasulye,0.4855518687081838
110,Tereyağı (Kahvaltılık),1.321
111,Toz Şeker,1.3056177152069892
112,Tulum Peyniri,0.6306773243195481
113,Turşu,0.13619728966246125
114,Tuz,0.1484289983070146
115,Yer Fıstığı,0.3852141259116546
116,Yoğurt,2.0771042136837803
117,Yumurta,2.7397
118,Zeytin,1.8222199170002962
119,Zeytinyağı,1.3506020229485693
120,Çarliston Biber,0.21725379479288842
121,Çay,2.4992072718410094
122,Çikolata Krem,0.5763983330540831
123,Çikolata Tablet,0.9574796756581071
124,Çilek,0.32478665830470965
125,Üzüm,0.6101441813473275
126,Şeftali,0.3204386619657671
127,Şehriye,0.11051292107582424
