,Grup,Ağırlık
0,Pirinç,1.2066999999999999
1,Un ve diğer tahıllar,1.50496470073409
2,Un ve diğer tahıllar,0.37021501598126
3,Un ve diğer tahıllar,0.44012028328464003
4,Ekmek,8.776299999999999
5,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",1.02309437741465
6,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.21000599854973998
7,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.54661344871687
8,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",1.0207566343485301
9,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.28664939009516
10,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",1.2712684871414799
11,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.37241166373353
12,Makarna Çeşitleri,0.78758707892417
13,Makarna Çeşitleri,0.11051292107582
14,Kahvaltılık tahıl ürünleri,0.1519
15,Dana Eti,9.119299999999999
16,Kuzu Eti,3.6797999999999997
17,Tavuk Eti,5.6841
18,Diğer etler ve yenilebilir sakatatlar,0.3098
19,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",1.7652755977716899
20,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.193078247847
21,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.34119643471908
22,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.41504971966221
23,Taze Balık,1.0806
24,Konserve edilmiş veya işlenmiş balık,0.12210000000000001
25,Süt,2.5092
26,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",2.0771042136837803
27,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.10049578631621
28,Peynir,3.263476421684
29,Peynir,1.52910282316855
30,Peynir,0.63067732431954
31,Peynir,0.24594343082788
32,Yumurta,2.7397
33,Tereyağı,1.321
34,Margarin,0.2894
35,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",1.35060202294856
36,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",2.79669797705143
37,Taze Meyveler,0.71770617409695
38,Taze Meyveler,0.6101441813473201
39,Taze Meyveler,0.2346155312549
40,Taze Meyveler,0.08704275861545001
41,Taze Meyveler,0.3247866583047
42,Taze Meyveler,0.9809559452405201
43,Taze Meyveler,1.00786250044213
44,Taze Meyveler,0.46327593643358006
45,Taze Meyveler,0.06960810884341
46,Taze Meyveler,0.49188794437026995
47,Taze Meyveler,0.67966254715965
48,Taze Meyveler,1.34514548866219
49,Taze Meyveler,0.11996756326309001
50,Taze Meyveler,0.32043866196576
51,Kuru meyve ve sert kabuklu yemişler,0.17781011542428
52,Kuru meyve ve sert kabuklu yemişler,0.81478039029041
53,Kuru meyve ve sert kabuklu yemişler,0.29659961388953
