,Ürün Adı,2025-01-25
Antep Fıstığı,Tadım Antep Fıstığı 180 gr,210.55
Antep Fıstığı,Tadım Antep Fıstığı 122 gr,143.35
Antep Fıstığı,Emsal Kuruyemiş Antep Fıstığı 150 gr,145.55
Armut,Armut Santa,33.58
Armut,Armut Deveci,33.58
Ay Çekirdeği,Emsal Siyah Çekirdek Tuzsuz 1000 gr,95.15
Ay Çekirdeği,Emsal Siyah Çekirdek Tuzlu 1000 gr,95.15
Ay Çekirdeği,Emsal Siyah Çekirdek Tuzsuz 250 gr,33.55
Ay Çekirdeği,Emsal Siyah Çekirdek Tuzlu 400 gr,39.95
Ay Çekirdeği,Emsal Siyah Çekirdek Tuzsuz 400 gr,39.95
Ay Çekirdeği,Peyman Çitliyo Kara Şimşek Tuzlu 120 gr,24.65
Ay Çekirdeği,Peyman Çitliyo Kara Şimşek Tuzlu 180 gr,35.85
Ay Çekirdeği,Peyman Çitliyo Kara Şimşek 180 gr,35.85
Ay Çekirdeği,Tadım Ayçekirdeği Siyah Tuzlu 180 gr,35.85
Ay Çekirdeği,Tadım Siyah Ayçekirdeği 180 gr,35.85
Ay Çekirdeği,Peyman Çitliyo Kara Şimşek 120 gr,24.65
Ay Çekirdeği,Emsal Siyah Çekirdek Tuzlu 250 gr,32.35
Ayran,Eker Ayran 1.5 L,75.0
Ayran,Özerhisar  Ayran 1 lt,97.4
Ayran,Pınar Ayran 1 L,48.1
Ayran,Torku Ayran 2 L,89.55
Ayran,Eker Tombul Ayran 293 ml,20.7
Ayran,Eker Tombul Ayran 195 ml,14.0
Ayran,Sütaş Ayran 1 L,44.75
Ayran,Eker Ayran 1 L,50.95
Ayran,Eker Ayran 300 ml,19.6
Ayran,Eker Tombul Ayran 6X195 ml,78.35
Ayran,İçim Ayran 1 L,44.75
Ayran,İçim Ayran Şişe 1.5 L,63.8
Ayran,Sütaş Ayran 300 ml,14.55
Ayran,Sütaş Ayran 2 L,76.95
Ayran,Sütaş Ayran 225 ml,11.2
Ayva,Ayva,29.98
Ayçiçek Yağı,Kırlangıç Ayçiçek Pet 5 L,436.75
Ayçiçek Yağı,Komili Ayçiçek Yağı 2 L,200.4
Ayçiçek Yağı,Komili Ayçiçek Yağı 1 L,100.75
Ayçiçek Yağı,Kırlangıç Ayçiçek 4 L,375.15
Ayçiçek Yağı,Komili Ayçiçek Yağı Pet 4 L,299.95
Ayçiçek Yağı,Yudum Ayçiçek Yağı Pet 5 L,414.35
Ayçiçek Yağı,Yudum Ayçiçek 4 L,335.95
Ayçiçek Yağı,Yudum Ayçiçek Yağı 1 L,111.95
