,Ürün,Grup,Ağırlık,Group_Number,Ana Grup
140,Kola,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0018902994350872,36,Gıda ve alkolsüz içecekler
13,Ayran,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0004040251880938,36,Gıda ve alkolsüz içecekler
89,Gazoz Meyveli,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0005192503817246,36,Gıda ve alkolsüz içecekler
236,Soğuk Çay,"Alkolsüz içecekler (meşrubat, ayran vb.)",0.0002382976946598,36,Gıda ve alkolsüz içecekler
102,Hazır Pakette Toz Tatlılar (Puding),"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0001951083290121,31,Gıda ve alkolsüz içecekler
105,Hazır Çorbalar,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0003041963741586,31,Gıda ve alkolsüz içecekler
170,Mayonez,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0001625246688785,31,Gıda ve alkolsüz içecekler
136,Ketçap,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0002184077385462,31,Gıda ve alkolsüz içecekler
20,Baharat,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0011522280466004,31,Gıda ve alkolsüz içecekler
115,Kabartma Maddeleri,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0001817078424189,31,Gıda ve alkolsüz içecekler
278,Tuz,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0003202593826123,31,Gıda ve alkolsüz içecekler
232,Sirke,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",0.0002458142044308,31,Gıda ve alkolsüz içecekler
