,0
2024-10-11,99.93512876403145
2024-10-12,100.09696966353098
2024-10-13,100.12595784676373
2024-10-14,100.46252739654355
2024-10-15,100.3451390080696
2024-10-16,100.3965830261511
2024-10-17,100.40627769165565
2024-10-18,100.13369343417848
2024-10-19,100.14248667152339
2024-10-20,100.25258911286289
2024-10-21,100.30701347580388
2024-10-22,100.51884241371516
2024-10-23,100.76772318677924
2024-10-24,100.99050017659206
2024-10-25,100.89975138816858
2024-10-26,100.97364868044582
2024-10-27,101.03067775833753
2024-10-28,101.07826596688733
2024-10-29,101.08547001356179
2024-10-30,101.07240170760174
2024-10-31,101.20484013049557
2024-11-01,101.19607875914237
2024-11-02,101.41354534509117
2024-11-03,101.52350293142898
2024-11-04,101.53991027602777
2024-11-05,101.97924355459266
2024-11-06,101.95559857737359
2024-11-07,102.04820470031869
2024-11-08,102.4503980100166
2024-11-09,102.44925862430077
2024-11-10,102.62821423016756
2024-11-11,102.64411831688908
2024-11-12,102.73531902452612
2024-11-13,103.14042386737653
2024-11-14,103.26779837323784
2024-11-15,103.00649454809648
2024-11-16,103.13750359534752
2024-11-17,103.25669785599958
2024-11-18,103.40296964527326
2024-11-19,103.61574908090584
2024-11-20,103.56886807760053
2024-11-21,103.57550292816498
2024-11-22,103.30132268315229
2024-11-23,103.2959488267175
2024-11-24,103.33536264568733
2024-11-25,103.51515929744953
2024-11-26,103.4558017388649
2024-11-27,103.53911206106345
2024-11-28,103.68859677381556
2024-11-29,105.20746645927504
2024-11-30,105.53332098904372
2024-12-01,105.60371300881688
2024-12-02,105.63832692789826
2024-12-03,105.68754714856482
2024-12-04,105.81720494285929
2024-12-05,105.91097851856404
2024-12-06,105.73315742563724
2024-12-07,105.65568684870144
2024-12-08,105.77651222836585
