category,name,main_price,has_multiple_markets,market_count,prices,average_price,min_price,max_price
Meyve ve Sebze,Kıvırcık Adet,24.95,False,,[],,,
Meyve ve Sebze,Taşköprü Sarımsağı File ,249.95,False,,[],,,
Meyve ve Sebze,Kurutulmuş Domates 250 Gr Paket,59.9,False,,[],,,
Meyve ve Sebze,Domates Şeker Paket,49.95,False,,[],,,
Meyve ve Sebze,Erik Angelica,92.95,False,,[],,,
Meyve ve Sebze,Lahana Brüksel 500 Gr Paket Adet,84.95,False,,[],,,
Meyve ve Sebze,Sarımsak File,54.0,False,,[],,,
Meyve ve Sebze,Kabak ,29.95,True,+1 Market,"[29.95, 45.0]",37.475,29.95,45.0
Meyve ve Sebze,Biber Çarliston Pkt.kg,94.95,False,,[],,,
Meyve ve Sebze,Pırasa Paket,47.5,False,,[],,,
Meyve ve Sebze,Domates Kokteyl Paket,45.9,False,,[],,,
Meyve ve Sebze,Ispanak ,39.5,False,,[],,,
Meyve ve Sebze,Domates Sivri,29.5,False,,[],,,
Meyve ve Sebze,Armut Santa Marıa,54.9,False,,[],,,
Meyve ve Sebze,Dereotu Demet Paket Adet,17.95,False,,[],,,
Meyve ve Sebze,Patates Taze,12.9,False,,[],,,
Meyve ve Sebze,Mantar Kestane,54.5,False,,[],,,
Meyve ve Sebze,Biber Çarliston Paket,34.9,False,,[],,,
Meyve ve Sebze,Marul Adet,54.95,False,,[],,,
Meyve ve Sebze,Armut Margarit ,34.95,False,,[],,,
Meyve ve Sebze,Köy Biberi Paket,99.95,False,,[],,,
Meyve ve Sebze,Biber Dolma Pkt.kg.,84.95,False,,[],,,
Meyve ve Sebze,Kıvırcık,44.5,False,,[],,,
Meyve ve Sebze,Biber Dolma Paket,27.5,False,,[],,,
Meyve ve Sebze,Soğan ,17.95,True,+1 Market,"[17.95, 19.9]",18.924999999999997,17.95,19.9
Meyve ve Sebze,Kırmızı Kapya Biber Paket,39.9,False,,[],,,
Meyve ve Sebze,Göbek Ekonomik Adet,12.95,False,,[],,,
Meyve ve Sebze,Salata Kıvırcık Skycrops Adet,42.95,False,,[],,,
Meyve ve Sebze,Dereotu,17.9,False,,[],,,
Meyve ve Sebze,Morsoğan ,39.5,False,,[],,,
Meyve ve Sebze,Elma Golden Atıştırmalık,29.0,False,,[],,,
Meyve ve Sebze,Domates Şeker,43.5,False,,[],,,
Meyve ve Sebze,Dereotu Demet Paket Adet,17.95,False,,[],,,
Meyve ve Sebze,Domates Şeker Paket,49.95,False,,[],,,
Meyve ve Sebze,Maydonoz Adet,7.95,False,,[],,,
Meyve ve Sebze,Limon Taze ,29.95,False,,[],,,
Meyve ve Sebze,Biber Kapya 400 Gr Adtet,44.9,False,,[],,,
Meyve ve Sebze,Pazı Demet,29.5,False,,[],,,
Meyve ve Sebze,Semiz Otu Demet ,39.5,False,,[],,,
Meyve ve Sebze,Mantar 400 Gr Safkar,49.5,False,,[],,,
Meyve ve Sebze,Domates Kahvaltılık,49.5,False,,[],,,
Meyve ve Sebze,Karnabahar Adet,39.95,False,,[],,,
Meyve ve Sebze,Kabak Helvacı Muscat,19.95,False,,[],,,
Meyve ve Sebze,Kumkuat Paket,29.5,False,,[],,,
Meyve ve Sebze,Nane,19.5,False,,[],,,
Meyve ve Sebze,Dereotu  Adet,19.95,False,,[],,,
Meyve ve Sebze,Domates Şeker Paket,49.95,False,,[],,,
Meyve ve Sebze,Kıvırcık,44.5,False,,[],,,
Meyve ve Sebze,Elma Golden Atıştırmalık,29.0,False,,[],,,
Meyve ve Sebze,Köy Biberi,89.5,False,,[],,,
Meyve ve Sebze,Salamura Asma Yaprak,119.9,False,,[],,,
Meyve ve Sebze,Soğan Taze Demet Işl.,44.95,False,,[],,,
Meyve ve Sebze,Kivi,89.0,True,+1 Market,"[89.0, 99.5]",94.25,89.0,99.5
Meyve ve Sebze,Domates Şeker,43.5,False,,[],,,
Meyve ve Sebze,Biber Dolma Pkt.kg.,84.95,False,,[],,,
Meyve ve Sebze,Muz Ithal ,89.5,False,,[],,,
Meyve ve Sebze,Domates Sivri,29.5,False,,[],,,
Meyve ve Sebze,Kabak Helvacı Muscat,19.95,False,,[],,,
Meyve ve Sebze,Roka,17.5,False,,[],,,
Meyve ve Sebze,Mango Adet,44.95,False,,[],,,
Meyve ve Sebze,Karnabahar Adet,39.95,False,,[],,,
Meyve ve Sebze,Zerdeçal 80 Gr Adet,59.95,False,,[],,,
Meyve ve Sebze,Limon Taze ,29.95,False,,[],,,
Meyve ve Sebze,Mantar Istiridye,54.0,False,,[],,,
Meyve ve Sebze,Domates Salkım Paket,38.95,False,,[],,,
Meyve ve Sebze,Ejder Adet,14.95,False,,[],,,
Meyve ve Sebze,Kızartmalık Patates File,27.5,False,,[],,,
Meyve ve Sebze,Mantar 300 Gr Paket,49.9,False,,[],,,
Meyve ve Sebze,Garliko Kurutulmuş Dolmalık Patlıcan,99.9,False,,[],,,
Meyve ve Sebze,Avokado Adet,39.9,True,+1 Market,"[39.9, 49.5]",44.7,39.9,49.5
Meyve ve Sebze,Elma Golden Atıştırmalık,29.0,False,,[],,,
Meyve ve Sebze,Salata Kıvırcık Skycrops Adet,42.95,False,,[],,,
Meyve ve Sebze,İstiridye Mantarı 300 Gr,69.5,False,,[],,,
Meyve ve Sebze,Armut Margarit ,34.95,False,,[],,,
Meyve ve Sebze,Köy Biberi Paket,99.95,False,,[],,,
Meyve ve Sebze,Tatlı Domates 250 Gr Paket Adet,44.95,False,,[],,,
Meyve ve Sebze,Maydanoz Demet Paket Adet,14.95,False,,[],,,
Meyve ve Sebze,Hindistan Cevizi,29.0,True,+1 Market,"[38.0, 39.9]",38.95,38.0,39.9
Meyve ve Sebze,Domates Pembe ,49.95,False,,[],,,
