Tarih,Tarih,İşlenmemiş Gıda,Meyve Sebze Hariç İşlenmemiş Gıda,Taze Meyve-Sebze,İşlenmiş Gıda,Ekmek ve Diğer Tahıllar,Diğer İşlenmiş Gıda
2024-10-31,2024-10-31,100.00000000000001,100.0,99.99999999999997,99.99999999999997,100.0,100.00000000000003
2024-11-01,2024-11-01,99.97590227594422,99.92059015221,100.03759195906709,100.07319231019233,100.0,100.08951836817062
2024-11-02,2024-11-02,99.9758067980103,99.92040906697468,100.03759195906709,100.2707608005685,100.99322082704822,100.1096110261143
2024-11-03,2024-11-03,100.00874668765557,99.98288347778492,100.03759195906709,100.2707608005685,100.99322082704822,100.1096110261143
2024-11-04,2024-11-04,100.19427852404365,99.97004119841773,100.44437070326741,100.35960290016519,101.45967538487784,100.11422401926222
2024-11-05,2024-11-05,101.20176282802775,100.93301652616202,101.5014959260048,100.41394834261426,101.45967538487784,100.18069159369402
2024-11-06,2024-11-06,101.35214470296845,101.09013700294142,101.64436222960131,100.43769784551351,101.45967538487784,100.20973858973525
2024-11-07,2024-11-07,101.38847224882572,101.49374437062009,101.2710621152649,100.56297941561215,101.47208528078038,100.36019697816613
2024-11-08,2024-11-08,102.21279130865213,100.8936953060273,103.68398078605522,100.75628020163911,101.81463961718605,100.52020571328585
2024-11-09,2024-11-09,102.47557278948946,100.75240693362048,104.39742189670392,100.72460357110596,101.81463961718605,100.48146338821068
2024-11-10,2024-11-10,102.51792738349184,100.83273744880735,104.39742189670392,100.84944330544366,102.26093767943082,100.53459958859494
2024-11-11,2024-11-11,103.04987308196597,100.77163008623742,105.59080044101594,100.91424412802989,102.51908889705533,100.55627224988636
2024-11-12,2024-11-12,103.75856574829047,101.33529817301844,106.46123920843141,100.92358616093031,102.54528242413687,100.561855438855
2024-11-13,2024-11-13,105.02176224649082,102.10564929787206,108.274106788806,100.9600195014583,102.57150651514974,100.60056602406975
2024-11-14,2024-11-14,105.34844368520926,102.37088344095102,108.66932047580649,100.96816883858479,102.10204700582699,100.71524936316399
2024-11-15,2024-11-15,105.04809649889454,101.88424809905318,108.57674071029614,100.85799226321681,102.08357795612267,100.58461678118694
2024-11-16,2024-11-16,105.22567067534325,101.59047568211865,109.28000835182648,100.87664798115026,102.08357795612267,100.60743378781054
2024-11-17,2024-11-17,105.24604069947016,101.62910985087946,109.28000835182648,100.91332574231058,102.17840209391532,100.63114159196819
2024-11-18,2024-11-18,105.70535588598675,102.03981014551591,109.79354379011907,101.13033876191119,102.35121061712371,100.85801473443006
2024-11-19,2024-11-19,106.14761954317387,103.21449398412868,109.41893827189607,101.26645505465056,102.3489371062337,101.02499984319276
2024-11-20,2024-11-20,106.240156652378,103.45058896052986,109.35136510618577,101.29708491293192,102.42773386909796,101.04488573568342
2024-11-21,2024-11-21,105.92665000994616,103.77508207245819,108.32629651274154,101.58685076056966,102.32374651558787,101.42248099564833
2024-11-22,2024-11-22,105.53594900324103,103.11614010195527,108.23476499981278,101.44118720762927,102.28907631150737,101.25205959801191
2024-11-23,2024-11-23,105.30216358902818,102.65441040737659,108.2552061362385,101.43858475100264,102.28907631150737,101.24887664518751
2024-11-24,2024-11-24,105.28748735995279,102.6261429793587,108.25568818891794,101.37881141287254,102.18226896569631,101.19959457225086
2024-11-25,2024-11-25,105.68135810868873,102.97758154695816,108.6968836041429,101.60887705530386,102.30232553920818,101.4541985088362
2024-11-26,2024-11-26,106.12906382612967,103.73548060260293,108.79863029038536,101.76103112380447,102.50533089999442,101.59500984004733
2024-11-27,2024-11-27,106.54406565090068,104.10634013078493,109.26286407562084,101.78776415244099,102.50533089999442,101.62770585816055
2024-11-28,2024-11-28,106.53570485156062,104.35157939025203,108.9716628027721,101.79513548338947,102.50533089999442,101.63672141616141
2024-11-29,2024-11-29,106.69049249541551,104.46467003436722,109.17295516435343,101.89458150523427,102.6281868006646,101.73094570039521
2024-11-30,2024-11-30,106.68131143399151,104.3917557121654,109.23485589108616,101.92295370660486,102.50533089999442,101.79305039026586
2024-12-01,2024-12-01,106.63016042800572,104.2444363620104,109.29096156370413,101.94950188187586,102.50533089999442,101.82552032217434
2024-12-02,2024-12-02,108.00486061375004,104.41351853374101,112.01028907941907,102.09558230665894,102.50533089999442,102.00418500995211
2024-12-03,2024-12-03,108.0419455969566,104.72682812100275,111.73930040454685,102.14719643852033,102.50533089999442,102.06731203581904
2024-12-04,2024-12-04,108.31474775216766,104.70923285970345,112.33598317389432,102.24366444572425,102.58309403085505,102.1679522968411
2024-12-05,2024-12-05,108.29813842651116,104.75792163039013,112.24654679695168,102.40979349370589,102.60081129335556,102.36718563416763
2024-12-06,2024-12-06,108.42420227087567,105.07603888409194,112.15841322554496,102.36103735085149,102.60081129335556,102.30755409179449
2024-12-07,2024-12-07,108.1819817236801,104.68804603001446,112.07877272070772,102.35653390396662,102.60081129335556,102.30204611950592
2024-12-08,2024-12-08,108.17947467616126,104.68329111679832,112.07877272070772,102.36698698846726,102.60081129335556,102.31483083779653
2024-12-09,2024-12-09,108.1843258457415,104.81256747260629,111.94485231919855,102.42379015006841,102.60081129335556,102.38430434286975
2024-12-10,2024-12-10,108.58955242767603,105.47235043997493,112.06617183530064,102.6450536676849,102.6150082454489,102.6517555097789
2024-12-11,2024-12-11,108.99565020283413,105.60917908648284,112.77258581782449,102.658450136426,102.6150082454489,102.66814015480242
2024-12-12,2024-12-12,109.23272306616748,106.09373275050065,112.73364302414598,102.67482539443625,102.6150082454489,102.68816802892742
2024-12-13,2024-12-13,109.12359535675964,105.84201581454883,112.78354526347957,103.05220709292935,104.41334983657771,102.74859466026959
2024-12-14,2024-12-14,109.09158636307883,105.73289415470998,112.83754012607645,103.11245027355618,104.69817160409332,102.75874401245211
2024-12-15,2024-12-15,109.16623187312787,105.71071148664723,113.02017822837863,103.10923530141538,104.69817160409332,102.75481191823336
2024-12-16,2024-12-16,108.97116680470526,105.66943471417022,112.6535928746298,103.20316752136522,104.69817160409332,102.86969637845127
2024-12-17,2024-12-17,109.34789695645331,106.47225044395131,112.55510923024164,103.42114213175667,105.37970522728362,102.98427090078141
2024-12-18,2024-12-18,109.18020235145573,106.50644118967115,112.16225163253827,103.61421877024415,106.37773028223879,102.99779815105829
2024-12-19,2024-12-19,108.8970788116393,106.53403412621793,111.53258560485764,103.6628442544456,106.50988752934576,103.02779128985847
2024-12-20,2024-12-20,108.37846460591892,106.0339547250091,110.99329950769886,103.63612788293075,106.81409078846211,102.92726097447944
2024-12-21,2024-12-21,108.29018064743588,105.80452212693514,111.06243880946575,103.6432995079708,106.81409078846211,102.93603228076877
2024-12-22,2024-12-22,108.29018064743588,105.80452212693514,111.06243880946575,103.65984077203404,106.81409078846211,102.9562631897608
2024-12-23,2024-12-23,108.50558138345681,105.83281003992354,111.48652671896377,103.7091162570917,106.90597395126261,102.99603473355297
2024-12-24,2024-12-24,109.3658606515384,106.9173028110374,112.09674037719097,103.75380250936034,106.90597395126261,103.05068856770897
2024-12-25,2024-12-25,109.9469495093237,107.21713500177655,112.99151515941574,103.86436412770742,106.9620946038253,103.17339362518861
2024-12-26,2024-12-26,110.09170919588658,107.20797119508354,113.3079459170398,103.95192037110704,106.98006197143712,103.27647215525704
2024-12-27,2024-12-27,110.91214858484174,107.45905377319106,114.76338969334822,103.9898482081977,106.98006197143712,103.32286006234281
2024-12-28,2024-12-28,111.04801903768376,107.44639195226038,115.06491838319056,104.01829879865333,106.98006197143712,103.35765675648165
2024-12-29,2024-12-29,111.04801903768376,107.44639195226038,115.06491838319056,104.01829879865333,106.98006197143712,103.35765675648165
2024-12-30,2024-12-30,111.81462619977887,107.5580336815447,116.56200933941179,104.04820366273663,107.01034473814713,103.38747732673434
2024-12-31,2024-12-31,112.12640447099652,107.56585327880643,117.21279311273051,104.07954258771595,107.01034473814713,103.42580661866405
2025-01-01,2025-01-01,112.73139935226794,107.8210654949223,118.24042664394877,104.25746093472259,107.01034473814713,103.64204410210988
2025-01-02,2025-01-02,112.97269936328568,108.22465059184559,118.28351567889581,104.56064132411942,107.32609230465538,103.9424514045914
2025-01-03,2025-01-03,113.23385382727058,108.58789229862728,118.41953839695388,104.50822140739825,107.31747497328048,103.88059932591443
2025-01-04,2025-01-04,112.9651740858344,108.60288645445695,117.80719546803971,104.6502299610548,107.32091044894908,104.05245231196524
