,"Alkolsüz içecekler (meşrubat, ayran vb.)","Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",Dana eti,Diğer etler ve yenilebilir sakatatlar,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)","Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",Dondurma,Ekmek,Kahvaltılık tahıl ürünleri,Kahve,Konserve edilmiş veya işlenmiş balık,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Kuru baklagiller,Kuru meyve ve sert kabuklu yemişler,Kuzu eti,Makarna çeşitleri,Margarin,Meyve ve sebze suları,Patates,Peynir,Pirinç,"Reçel, marmelat, bal vb. ürünler",Su ve maden suyu,Süt,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",Tavuk eti,Taze balık,Taze meyveler,Taze sebzeler (patates hariç),Tereyağı,Toz kakao,Un ve diğer tahıllar,Yumurta,Çay ve bitki çayları,Çikolata ve şekerlemeler,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Şeker
2024-11-13,100.74027431804782,101.77603488962986,102.0154358582643,99.5265229123612,99.78470667457356,100.13929348154163,99.9628280962655,102.6844668623942,104.2798503912182,100.44238739488087,101.44473285542466,99.92814952982195,97.62180646917827,99.7662145036647,103.95684436543556,104.56161654276232,100.0,100.49341614199226,99.34631592978648,100.80721429232892,98.7165966310118,99.47412639478787,100.19450771856899,100.04809039034916,102.06561330016362,100.93058126492996,102.80355893505518,98.87435021268934,113.65298876578129,100.25341269692538,99.30236752076827,101.88183841227918,102.8779893986905,103.27918561187465,99.98817105880794,100.87830112709713,99.98439270977943
2024-11-14,100.39256492670255,101.8501458962487,102.12298719711342,100.86741946552311,99.4578869611376,100.13865799604514,99.9628280962655,102.11244107074393,103.80295477337702,100.44238739488087,101.4554797603967,99.68883180077356,97.39105749388611,99.76621569339427,104.20949473753822,104.53650572931691,100.0,100.4435847003099,99.34631592978648,101.0406336863256,99.20168696800016,99.47412639478787,100.17014360402163,100.24767723031994,103.08226132114329,101.06780096918126,104.2224687601218,98.8836940043162,114.29153596404609,100.25341269692538,99.30236752076827,101.88183841227918,103.29755705529202,103.27918561187465,100.01048267993811,100.8799836125169,101.03494187551918
2024-11-15,100.7987148313573,101.50915579125038,101.784764417855,101.23027029300712,99.35448708879241,100.07156458064725,99.74892415189368,102.08993695149968,103.9984992024022,100.25586409311578,101.54070301562332,99.60142096435987,97.40687992376573,100.02354785953649,103.67426363975936,104.53650572931691,100.0,100.35129983252746,99.34631592978648,100.92984142360987,99.26827540657564,99.24281989067438,100.17014360402163,99.83571876471416,102.65181313510506,99.95829515186963,103.02238794572445,98.66524004038781,114.16113729505086,100.25341269692538,99.30236752076827,101.93103538763498,103.76470112020296,103.27918561187465,100.00268575311327,100.07028980600492,101.03494187551918
2024-11-16,100.85477632596222,101.74754590885486,100.58164713797039,101.23027029300712,99.32893730866263,100.11003478546927,99.98584818013737,102.08993695149968,104.0924256128001,100.25586409311578,101.4719258154895,100.06280232721261,97.40687992376573,99.94790643644279,103.90681772289892,104.53650572931691,100.0,100.2010733357722,98.13809074365346,100.86385063036283,99.26827540657564,99.84818775087109,100.21085768113718,99.89057935509771,102.46151093206718,100.37562074132734,103.27948586135484,99.80828928813246,114.88153025633511,100.25341269692538,99.64808671180676,101.97498153177558,104.1835489838065,103.14277075103813,100.13268114765287,100.2785642010857,101.03494187551918
2024-11-17,100.81905553183046,101.74754590885486,100.58164713797039,101.23027029300712,99.13152908051629,100.07570553562375,99.98584818013737,102.2054780182184,104.09405288202665,100.36436432680527,101.4719258154895,100.07907782862844,97.40687992376573,99.94790643644279,103.90681772289892,104.53650572931691,100.0,100.19547425910072,98.13809074365346,100.81566290150379,99.26827540657564,99.78885165055675,100.23247062532177,99.94142863191875,102.46151093206718,100.540016136613,103.27948586135484,99.80828928813246,114.88153025633511,100.25341269692538,99.64808671180676,101.97498153177558,104.1835489838065,103.14277075103813,100.12447556413076,101.17060129369546,101.03494187551918
2024-11-18,100.78443267069099,102.1537987474719,101.06089938668237,101.23027029300712,99.7131830529513,100.07634574521829,100.15519759458984,102.41604129434587,103.95158357749582,100.36436432680527,101.4719258154895,100.09387272833278,97.40687992376573,99.94790643644279,104.6009180416891,104.53650572931691,100.44870940512682,100.54157408786442,98.13809074365346,101.07033437039279,99.26827540657564,99.77930042302707,100.48387844743436,100.36976038673431,103.0072022189749,100.540016136613,105.22274974656305,99.93386758536374,115.76627770608947,100.25341269692538,99.64808671180676,101.97498153177558,104.1835489838065,103.14277075103813,100.27730642339378,101.58565041803132,101.03494187551918
2024-11-19,101.38842854338776,102.17931277792289,102.85597719462918,101.2899834362884,99.75317298119207,100.05897663074563,100.15519759458984,102.4392307070696,104.91433568269647,100.38797946377986,101.51100345110716,100.1960449109643,97.40687992376573,99.94790643644279,104.6009180416891,104.7231137501579,100.44870940512682,100.54157408786442,97.02218772763604,101.01417523098716,99.14075208028828,100.26614301080635,100.64575667653124,100.34258883728262,103.05343300134709,102.5399098238108,104.43001670814152,99.77021988866343,115.18842111674176,100.34864700423698,99.64808671180676,101.8751601893555,105.05939658150976,103.3432526722971,101.66249735569602,101.94007803928066,101.75085124406247
2024-11-20,101.38842854338776,102.21537424595462,102.99832770086314,101.2899834362884,99.71676649279262,100.11168384456856,99.5755009491855,102.4392307070696,105.24480324720606,100.38797946377986,101.5636317639367,100.22995613170708,97.40687992376573,99.94790643644279,104.71376016312762,104.72311346272365,100.44870940512682,100.54157408786442,99.36804590861009,101.09977984776918,99.14075208028828,100.26614301080635,100.67608521357847,100.38237129008614,103.21710289292281,102.97877163981792,103.81715294453858,100.20693636625376,114.6614778243388,100.34864700423698,99.64808671180676,102.24435082956491,105.27709860149042,103.3432526722971,101.58728854485037,101.3333483862665,101.75085124406247
2024-11-21,101.60147992854675,102.2779932064592,103.19170598434218,103.96168191657415,100.35439510269939,100.75020910073702,99.72681604126842,102.29059992851528,104.98074481722055,100.29184615823911,101.61697734160882,100.50744215447045,101.53087646680771,101.51445572828341,105.76929846280352,104.92118712544341,100.97787921717432,100.93625767740645,99.36804590861009,100.52950582273014,102.48259465276392,99.90983376897255,100.59608610632971,100.55820012382708,102.85882024306466,102.86349603248249,104.61445187019764,99.73038827264438,113.39793264948051,100.23904040440443,101.8769134224142,102.32865621948434,105.56004029866972,103.3432526722971,103.03672932333366,101.19491245193097,101.67323240284382
2024-11-22,101.41823541223603,101.96848169764819,103.099877992365,103.96168191657415,100.69709213863493,100.84415348675732,99.72681604126842,102.20553055906494,104.7915495202399,99.76382800930423,101.3442417807761,100.6586084861663,102.52936873887855,101.57887618265444,105.22605604645628,105.04433756620388,100.97787921717432,100.79350424462223,95.49379627931872,100.17642945260457,103.17963439889238,99.90371693227938,100.58369529117192,100.02042734829617,102.72015492727003,101.29057686616154,104.61445187019764,99.64089587041677,113.14894597590389,100.23904040440443,101.8769134224142,102.17298100883256,105.15968109758809,104.30478851338508,100.42452513968483,101.25518791522752,102.23388178727278
