Ürün,Kod,2022 Ağırlık,Grup,2025 Ağırlık
Pirinç,1111,0.2565770563542397,Pirinç,0.2791059772534018
Buğday Unu,1112,0.5155139758704976,Un ve diğer tahıllar,0.3703161603989201
Bebek Sütü (Toz Karışım),1112,0.1268142799112599,Un ve diğer tahıllar,0.0910962251628438
Bulgur,1112,0.1507597865827976,Un ve diğer tahıllar,0.1082973264025087
Ekmek,1113,2.5399195041366185,Ekmek,2.1906775557247364
Bisküvi,1114,0.2792742648855278,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.2841626311853474
Kraker,1114,0.0573253769752277,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0583287900217002
Gofret,1114,0.1492091760417101,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.1518209065142086
Pasta,1114,0.2786361307204941,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.2835133272351264
Kek,1114,0.0782467379998782,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.0796163547716427
Baklava,1114,0.3470183983570847,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.3530925457356177
Ekmek Hamuru (Yufka),1114,0.1016572819868268,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",0.1034366726929463
Makarna,1115,0.198219579942513,Makarna çeşitleri,0.2495123402804498
Şehriye,1115,0.0278138448180139,Makarna çeşitleri,0.0350111604249823
Tahıl Gevreği,1116,0.0311926602288703,Kahvaltılık tahıl ürünleri,0.043740426751686
Dana Eti,1122,2.152781593330608,Dana eti,2.102752916754812
Kuzu Eti,1124,0.9154981622180908,Kuzu eti,0.8694432763422619
Tavuk Eti,1125,1.4030656957109862,Tavuk eti,1.301081153147174
Sakatat,1126,0.0574108275603636,Diğer etler ve yenilebilir sakatatlar,0.0600713127304606
Sucuk,1127,0.4298311573717566,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.4245730560599458
Sosis,1127,0.0470130821726357,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.0464379736799063
Salam,1127,0.0830787320753456,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.0820624344370356
Hazır Et Yemekleri,1127,0.1010614442268546,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",0.0998251650429258
Balık,1131,0.3767894666874697,Taze balık,0.3409444443691752
Konserve Balık,1133,0.0269469553598047,Konserve edilmiş veya işlenmiş balık,0.024847840398397
Süt,1141,0.7458693641754542,Süt,0.5833553265945621
Yoğurt,1143,0.5875702846978449,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.4624511956836054
Hazır Sütlü Tatlılar,1143,0.0284282018146945,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",0.0223746099193919
Beyaz Peynir,1144,0.8288469814896153,Peynir,0.7104251481285014
Kaşar Peyniri,1144,0.3883564933852076,Peynir,0.3328699090440112
Tulum Peyniri,1144,0.1601773474087074,Peynir,0.1372919468864436
Krem Peynir,1144,0.0624639016554331,Peynir,0.0535393475240655
Yumurta,1145,0.8134349377335438,Yumurta,0.666129768326604
Tereyağı (Kahvaltılık),1151,0.3320279940549809,Tereyağı,0.3190275793927496
Margarin,1152,0.1222465338012488,Margarin,0.0693256968699761
Zeytinyağı,1153,0.4205278873326488,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",0.4038441234859586
Ayçiçek Yağı,1153,0.870789079102184,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",0.8362419306403612
Portakal,1161,0.1574245125741581,Taze meyveler,0.1897415092702973
Üzüm,1161,0.1338314394040394,Taze meyveler,0.1613051162434229
Armut,1161,0.0514614991247679,Taze meyveler,0.062025807503427
Ayva,1161,0.0190923031495293,Taze meyveler,0.0230116794125771
Çilek,1161,0.0712399909873165,Taze meyveler,0.0858645403394103
Elma,1161,0.2151667591971279,Taze meyveler,0.2593374117364962
Karpuz,1161,0.2210685494987005,Taze meyveler,0.2664507550202474
Kavun,1161,0.1016167773283513,Taze meyveler,0.1224772456473856
Kivi,1161,0.0152681180702835,Taze meyveler,0.0184024439332979
Limon,1161,0.1078926483822247,Taze meyveler,0.1300414631016831
Mandalina,1161,0.1490798728827222,Taze meyveler,0.1796838346205249
Muz,1161,0.2950495349443197,Taze meyveler,0.3556189767045491
Nar,1161,0.0263141601020299,Taze meyveler,0.031716080115461
Şeftali,1161,0.0702862842629825,Taze meyveler,0.0847150512902312
Badem İçi,1162,0.0471792185577638,Kuru meyve ve sert kabuklu yemişler,0.0416131194893454
Ceviz İçi,1162,0.216189624636176,Kuru meyve ve sert kabuklu yemişler,0.1906840544916464
Fındık İçi,1162,0.0786982111476174,Kuru meyve ve sert kabuklu yemişler,0.0694135715722791
Antep Fıstığı,1162,0.0525591962214357,Kuru meyve ve sert kabuklu yemişler,0.0463583793773252
Yer Fıstığı,1162,0.1022107285322727,Kuru meyve ve sert kabuklu yemişler,0.0901521345526099
Leblebi,1162,0.0426477270405068,Kuru meyve ve sert kabuklu yemişler,0.0376162432430444
Ay Çekirdeği,1162,0.1930509368359402,Kuru meyve ve sert kabuklu yemişler,0.1702752175144298
Kabak Çekirdeği,1162,0.0365244459381395,Kuru meyve ve sert kabuklu yemişler,0.0322153731996441
Kuru Üzüm,1162,0.0382620379395074,Kuru meyve ve sert kabuklu yemişler,0.0337479679688458
Kuru Kayısı,1162,0.0377428056269041,Kuru meyve ve sert kabuklu yemişler,0.0332899935273947
Çarliston Biber,1171,0.046179234725973,Taze sebzeler (patates hariç),0.0618109800611124
Dolmalık Biber,1171,0.0437203866090037,Taze sebzeler (patates hariç),0.0585198078961087
Sivri Biber,1171,0.1546305477338711,Taze sebzeler (patates hariç),0.2069732372035491
Dereotu,1171,0.011560255269604,Taze sebzeler (patates hariç),0.015473420298344
Domates,1171,0.67486798659938,Taze sebzeler (patates hariç),0.9033118870658884
Taze Fasulye,1171,0.1032083869378932,Taze sebzeler (patates hariç),0.1381445921530105
Havuç,1171,0.0665974401260998,Taze sebzeler (patates hariç),0.0891407808765662
Ispanak,1171,0.0612224768748422,Taze sebzeler (patates hariç),0.0819463839073624
