,Ürün,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-19,2024-10-20,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25
Antep Fıstığı,Tadım Antep Fıstığı 180 G,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95
Antep Fıstığı,Siirt Fıstığı Tuzlu Kavrulmuş Kg,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95,899.95
Antep Fıstığı,Migros Kavrulmuş Antep Fıstığı 150 G,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5
Antep Fıstığı,Migros Antep Fıstığı Jumbo 200 G,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0
Antep Fıstığı,Master Nut Kabuklu Antep Fıstığı 140 G,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95,132.95
Antep Fıstığı,Emsal Antep Fıstığı 150 G,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9,124.9
Antep Fıstığı,Antep Fıstık Kg,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95,799.95
Antep Fıstığı,Antep Fıstık Eko Kg,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95,649.95
Antep Fıstığı,Siirtten Fistalora Kavrulmuş Tuzlu Siirt Fıstığı 200 G,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95,172.95
Armut,Armut Santa Maria kg,59.9,59.9,59.9,59.9,59.9,59.9,59.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9
Armut,Margaret Armut kg,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95,59.95
Armut,Deveci Armut kg,49.95,49.95,49.95,49.95,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9
Armut,Armut Santa Maria Kg,53.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,64.95,58.95,58.95,58.95
